STATION	STATION_NAME	DATE	TMAX	TMIN
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140910	256	133
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140909	244	144
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140908	250	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140907	306	128
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140906	344	139
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140905	322	133
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140904	294	106
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140903	228	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140902	244	150
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140901	267	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140831	250	144
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140830	228	144
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140829	250	172
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140828	283	156
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140827	322	178
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140826	339	172
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140825	322	156
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140824	272	144
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140823	311	150
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140822	272	161
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140821	267	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140820	256	156
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140819	294	172
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140818	328	161
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140817	311	178
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140816	294	172
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140815	267	178
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140814	267	167
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140813	256	172
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140812	267	194
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140811	372	206
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140810	350	167
